product_id,product_name,category,price,stock
105,Intuitive well-modulated migration,Sports,1707.95,150
106,Persistent disintermediate matrix,Home,1244.36,397
107,Polarized non-volatile methodology,Sports,1575.39,164
108,Synergized fault-tolerant system engine,Electronics,41.53,229
109,Sharable modular database,Sports,981.86,154
110,Front-line empowering circuit,Sports,1999.92,269
111,Re-engineered high-level middleware,Sports,756.62,298
112,Triple-buffered asymmetric utilization,Electronics,386.81,397
113,Horizontal leadingedge frame,Home,1987.21,448
114,Right-sized actuating infrastructure,Clothing,487.86,104
115,Versatile bifurcated instruction set,Sports,1849.1,362
116,Switchable neutral alliance,Books,1169.61,53
117,Fundamental responsive emulation,Books,507.96,414
118,Optimized heuristic toolset,Sports,1551.19,280
119,Programmable even-keeled ability,Sports,705.76,57
120,Sharable methodical standardization,Books,1510.7,461
121,Profound didactic moderator,Clothing,1184.41,201
122,User-friendly static customer loyalty,Clothing,1292.76,50
123,Multi-layered incremental intranet,Clothing,1800.64,217
124,Robust dedicated knowledge user,Home,1402.16,247
125,Mandatory clear-thinking ability,Sports,780.97,229
126,Reduced intermediate throughput,Home,1218.85,407
127,Team-oriented dynamic open system,Clothing,552.84,185
128,Up-sized next generation conglomeration,Home,415.39,6
129,Enterprise-wide mobile portal,Books,1382.33,278
130,Phased next generation function,Sports,1916.91,36
131,Multi-channeled national support,Electronics,965.78,302
132,Polarized systematic interface,Sports,158.88,413
133,Cross-group object-oriented neural-net,Sports,1159.56,430
134,Multi-layered coherent hardware,Books,1600.34,155
135,Versatile zero administration attitude,Home,475.62,267
136,Multi-layered solution-oriented focus group,Home,56.53,90
137,Operative encompassing workforce,Books,942.5,100
138,Digitized intangible installation,Home,1498.05,299
139,Object-based heuristic forecast,Electronics,1234.04,346
140,Devolved bifurcated capacity,Home,1466.45,203
141,Polarized impactful array,Electronics,161.99,28
142,Cross-group web-enabled array,Clothing,455.88,394
143,Realigned context-sensitive core,Books,1774.65,273
144,Realigned bandwidth-monitored benchmark,Books,496.1,250
145,Networked tertiary customer loyalty,Books,569.34,493
146,Streamlined multimedia interface,Sports,1066.96,235
147,Ergonomic secondary knowledgebase,Sports,1984.98,128
148,Programmable heuristic time-frame,Books,544.79,179
149,Versatile uniform initiative,Electronics,1532.91,440
150,Extended zero administration functionalities,Home,1298.3,480
151,Adaptive scalable leverage,Clothing,216.7,198
152,Configurable discrete knowledgebase,Books,584.63,145
153,Robust tertiary strategy,Clothing,153.39,9
154,Profit-focused coherent middleware,Home,1102.67,455
155,Extended mission-critical extranet,Books,1013.2,17
156,Grass-roots tangible utilization,Books,551.03,118
157,Operative human-resource function,Home,632.4,397
158,Polarized 6thgeneration instruction set,Books,952.46,297
159,Versatile bifurcated functionalities,Clothing,818.21,445
160,Expanded zero administration ability,Electronics,1505.58,452
161,Visionary dynamic benchmark,Clothing,1901.12,394
162,Sharable directional throughput,Sports,1243.83,103
163,Digitized regional extranet,Books,1189.5,299
164,Horizontal actuating array,Sports,1928.3,404
165,Seamless system-worthy Graphical User Interface,Books,1426.89,480
166,Networked methodical matrices,Sports,362.13,352
167,Reverse-engineered incremental intranet,Clothing,724.16,448
168,Future-proofed mobile circuit,Books,1267.72,453
169,Total asymmetric array,Clothing,1845.34,279
170,Ergonomic composite Graphic Interface,Clothing,1010.71,472
171,Future-proofed reciprocal definition,Home,394.51,380
172,De-engineered didactic migration,Sports,131.66,243
173,Ameliorated high-level neural-net,Home,1268.07,121
174,Profound explicit access,Sports,958.55,25
175,Fully-configurable solution-oriented success,Home,185.61,90
176,Implemented zero tolerance firmware,Electronics,604.1,64
177,Compatible 6thgeneration support,Books,368.46,316
178,Visionary solution-oriented approach,Electronics,686.58,79
179,Open-architected context-sensitive Graphical User Interface,Clothing,608.24,491
180,Profit-focused neutral approach,Home,61.13,394
181,Reverse-engineered bi-directional architecture,Electronics,485.53,270
182,Synergized context-sensitive open architecture,Electronics,1019.12,193
183,Exclusive multi-tasking algorithm,Sports,379.26,0
184,Object-based reciprocal hierarchy,Electronics,250.83,141
185,Configurable responsive attitude,Sports,751.74,193
186,Reactive reciprocal hardware,Sports,508.09,462
187,Visionary impactful utilization,Books,841.67,168
188,Digitized real-time flexibility,Books,112.56,317
189,Implemented system-worthy monitoring,Sports,386.04,122
190,Cross-platform contextually-based productivity,Sports,1783.39,306
191,Organic heuristic neural-net,Electronics,781.26,198
192,Monitored foreground capability,Books,1251.36,382
193,Customizable grid-enabled standardization,Electronics,1040.21,102
194,Multi-channeled client-server superstructure,Sports,1723.76,260
195,Synergized leadingedge benchmark,Electronics,1649.13,135
196,De-engineered encompassing flexibility,Electronics,1277.41,84
197,De-engineered zero tolerance array,Books,1066.92,84
198,Self-enabling actuating emulation,Sports,1022.84,468
199,Networked interactive functionalities,Clothing,518.67,378
200,Total impactful knowledgebase,Electronics,1078.14,138
